"","X","unique_Id","fare_amount","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","passenger_count","total","year","month","day","dayOfWeek","hour","timeOfDay","dist","to_jfk","to_nkw","to_lag","to_msg","to_ts","to_freedom","to_grand","to_bronx","to_nyc"
"208",208,"0000001",10.5,-73.954108,40.766901,-73.984133,40.743475,1,2.35137525716348,"2010","2",10,"4",8,"Morning",3.63059892542764,41.1322333513856,37.5986063604538,16.9604483784712,4.88301336554874,4.47474883414699,12.0460543118775,3.68562199601894,17010.5369831822,11.0938223307828
"209",209,"0000004",7.3,-73.994009,40.76144,-73.972811,40.792574,1,1.98787434815435,"2011","5",31,"3",22,"Night",3.89500369564675,46.0769390999684,37.6811223188405,18.747980209958,6.2069059695918,4.6864848843198,15.1774659103073,6.16641690826223,17013.8225204539,14.5248318353383
"210",210,"0000002",4.5,-73.995331,40.739986,-73.987655,40.736707,1,1.50407739677627,"2011","9",26,"2",9,"Mid-Day",0.742418460068131,41.9598049425235,32.7103022905378,21.7674633680136,2.78863229385682,4.74999430367233,6.83457661080628,4.065744755007,17013.5254515144,5.98051521359505
"211",211,"0000006",12.5,-73.982332,40.768633,-73.983343,40.744372,1,2.52572864430826,"2012","10",23,"3",8,"Morning",2.69904379349789,43.045425468285,35.6563941673545,19.1765858727405,3.30859582220724,2.7292883109729,11.0857275907188,2.88444507016169,17012.8606998175,10.2661680007312
"212",212,"0000004",16.5,-73.9952,40.731697,-73.94977,40.780347,1,2.80336038090653,"2013","9",7,"7",22,"Night",6.62621097352557,42.0594921433528,37.2853948255348,17.8656768246595,7.04765997167705,6.95526263374843,11.8469902623538,6.62997295848683,17011.1299430699,10.934787375717
"213",213,"00000027",4.9,-74.002707,40.72664,-73.991825,40.72722,2,1.58923520511658,"2012","7",31,"3",19,"Night",0.919254301566204,41.5806517237859,31.0166209529962,23.7798980019553,5.35857793701371,7.44966348573334,4.22459806061167,6.69720949284976,17013.9987921559,3.32208549443806
"214",214,"000000125",4.1,-73.990953,40.733067,-73.996235,40.72557,1,1.41098697371026,"2011","8",26,"6",8,"Morning",0.945004046269666,41.2878996756188,31.7635048488498,22.9837929580598,4.73175349111837,6.7375183254695,4.98566095073704,5.88800901834744,17013.4920126103,4.00133808978856
"215",215,"0000003",15.5,-73.985132,40.76853,-74.002285,40.730008,1,2.7408400239252,"2013","3",17,"1",12,"Mid-Day",4.52059760159685,43.7874929956395,33.4151629631408,21.5314710285167,4.52075653876134,4.59459142038017,8.78956184775573,5.17408854598129,17014.3537470509,8.09972575345156
"216",216,"0000006",11,-73.9722137451172,40.7655715942383,-73.9795837402344,40.7364692687988,1,2.39789527279837,"2015","5",25,"2",15,"Evening",3.29504372895586,41.4317016897755,36.2677742452066,18.4765374596144,4.39453556445643,3.85172181544913,10.7133946604344,3.30751264445536,17011.4815190452,9.75464678054618
"217",217,"0000004",4.9,-73.998287,40.72749,-73.989854,40.735239,2,1.58923520511658,"2009","4",8,"4",19,"Night",1.11684989017934,41.5791926088971,31.8148657352298,22.8376224865754,4.31455307338192,6.32635326084094,5.27670884402483,5.53376133813449,17013.657229112,4.35738471790056
"218",218,"0000002",11.3,-73.980196,40.726966,-73.956413,40.77547,1,2.42480272571829,"2009","6",6,"7",1,"Night",5.75345846638188,40.6998347005922,37.6131626122535,17.6038920559303,7.01638058857019,6.61316542523305,11.6880374719232,5.95081703740978,17010.2346017119,10.6384089340214
"219",219,"00000041",7.3,-73.983758,40.74643,-73.963557,40.774088,1,1.98787434815435,"2011","2",27,"1",14,"Evening",3.51469546530446,42.4145031672895,37.3862607446158,17.4888738044087,4.56254143106855,3.86985748358437,12.5203501775513,3.53078750265516,17011.5016766327,11.6401157563506
"220",220,"00000062",14.9,-73.955268,40.782767,-73.932382,40.794812,6,2.70136121295141,"2012","1",13,"6",11,"Mid-Day",2.34651536374055,43.1473372613785,44.7037532054684,12.0756486371037,11.9341301433572,9.62517629273242,20.6012778908409,9.8337297698349,17007.7770758954,19.6808514323165
"221",221,"00000012",30.9,-73.981942,40.763977,-73.870455,40.773607,5,3.4307561839037,"2012","3",16,"6",7,"Morning",9.44958469739136,38.5841238617937,45.4901024723362,9.91189452847333,12.4511510819491,10.4166039199312,20.1039569377213,10.6018714914094,17004.016313554,19.1314767853555
"222",222,"0000001",6.1,-73.98972,40.75238,-74.007553,40.743197,1,1.80828877117927,"2012","6",18,"2",20,"Night",1.81643112908358,44.1181303270441,32.3546147253709,22.1172638984102,1.81643414925332,3.39694005473029,8.26910506715672,3.82188971732206,17015.1059287284,7.7047414530214
"223",223,"00000056",3.3,-73.995802,40.749905,-73.994543,40.750907,1,1.19392246847243,"2010","2",23,"3",9,"Mid-Day",0.153822350329863,43.9135440858324,33.1219840612145,21.3778027248557,0.319267768383338,2.53920098263135,8.93054962863553,3.07190792292242,17014.6433032661,8.27830927781924
"224",224,"0000002",4.1,-73.991863,40.754275,-73.983796,40.753213,1,1.41098697371026,"2012","1",6,"6",7,"Morning",0.689689537285142,43.3113948293645,34.5568470616916,19.9807678794928,1.30268296954631,1.40927792657122,10.1156697196447,1.80598822962873,17013.5697101869,9.36547081222049
"225",225,"00000087",12,-73.973857,40.764185,-73.994435,40.750242,3,2.484906649788,"2014","7",21,"2",14,"Evening",2.32548127974766,43.3194762237199,35.4472416245093,19.2038353321371,2.33346249084783,2.35747617564879,11.093600579677,2.78504836444035,17013.1073033025,10.3363689222333
"226",226,"0000001",9,-73.991485,40.754599,-74.00497,40.751693,1,2.19722457733622,"2014","8",5,"3",11,"Mid-Day",1.1809549873896,44.6883395541429,32.9101781638336,21.6997421365113,1.46708752315634,2.57531903056876,9.40515761731738,3.5635257676037,17015.2643331088,8.84239583431195
"227",227,"00000020",2.5,-73.989142,40.720105,-73.988777,40.720662,1,0.916290731874155,"2012","3",29,"5",3,"Morning",0.0691535505553959,39.6728382139476,32.0252515152341,23.3461999750469,6.73937816770199,8.5903699849673,4.46022219482508,7.45505290968234,17012.3479534736,3.24720059170267
"228",228,"000000130",8.9,-73.98948,40.743287,-73.965692,40.754512,1,2.18605127673809,"2012","6",30,"7",13,"Mid-Day",2.36080792060929,41.3369816206637,35.7249575249961,18.6935278120555,3.24358477260527,3.48083618822133,10.0996220604088,2.46168619158447,17011.6709261847,9.18423934337558
"229",229,"0000001",10.5,-73.978991,40.72375,-73.963046,40.711855,1,2.35137525716348,"2014","1",31,"6",4,"Morning",1.88554461241516,36.7200838813717,34.9122488700823,21.3522108857279,8.21336784296329,9.49363142391637,7.39460804198166,7.91835798654467,17009.2698733165,6.20519168366144
"230",230,"00000086",5.7,-74.000552,40.727492,-74.005037,40.719123,1,1.7404661748405,"2010","11",16,"3",19,"Night",1.00441492003013,42.0661608717461,29.9182989426229,24.9919789280486,6.25249360543081,8.45834873426612,2.97263460447803,7.83370102844681,17014.7608418835,2.12399327142049
"231",231,"0000002",7,-74.002462,40.718762,-74.007071,40.705536,2,1.94591014905531,"2012","12",15,"7",19,"Night",1.52110572383314,41.3767506629885,29.0896490885574,26.5980343805749,8.74152367699186,10.9126264401326,2.10074035873619,10.1497473745082,17014.61668707,1.57020293150725
"232",232,"0000003",12,-73.984997,40.768466,-73.944564,40.800466,1,2.484906649788,"2014","7",20,"1",23,"Night",4.92439432658877,45.0363643598981,41.1899061154979,15.8220346901218,9.03164666180997,6.80929999443575,17.9981320907325,7.85220907538476,17011.0586729736,17.2189652045209
"233",233,"00000021",49.57,-73.982483,40.75674,-73.789985,40.64691,1,3.90338581203248,"2010","5",24,"2",14,"Evening",20.3093581885581,22.6667619843203,50.5996533659164,25.7708225590949,21.8098022466591,20.9559205482015,25.7569818731093,20.3163041072878,16994.5514766224,24.8659522381256
"234",234,"0000002",8.5,0,0,0,0,2,2.14006616349627,"2011","7",24,"1",1,"Night",0,17293.4208292288,17361.1197795747,17314.9975129381,17333.5911498632,17332.5607702632,17335.3583980552,17330.9987045611,327.596007390262,17334.2566048011
"235",235,"00000053",4.5,-73.947035,40.776027,-73.955498,40.764307,1,1.50407739677627,"2012","8",18,"7",18,"Night",1.48534897234101,40.9345249973707,41.6880191758435,13.2133407817992,8.36992281199224,6.29331424753879,16.5230579012119,5.86831973566571,17008.2180582703,15.5372558283902
"236",236,"00000095",7.3,-73.977897,40.762802,-73.99153,40.750252,5,1.98787434815435,"2009","8",8,"7",21,"Night",1.80720573246599,43.2834837530068,35.2984412271839,19.334344024517,2.05103536541272,1.84950025152654,10.8874737795131,2.36223025583973,17013.1720618679,10.1201236459326
"237",237,"00000052",5.3,-73.986402,40.754723,-73.998898,40.739248,1,1.66770682055808,"2010","1",8,"6",0,"Night",2.01719665345807,43.1883208114342,33.2319984344572,21.2540058126688,2.08778761945548,2.95232980563597,8.39199603204693,3.16899555412062,17014.0817840145,7.67328818235677
"238",238,"000000123",6.9,-73.967425,40.755712,-73.983035,40.734913,5,1.93152141160321,"2010","9",19,"1",19,"Night",2.66047119458448,40.5829294990291,35.8494527522895,18.6933541674422,4.20415830501784,4.20325441338335,9.71117615814688,2.92687584930531,17011.1296616653,8.69964087630989
"239",239,"000000211",9.3,-73.971088,40.792648,-73.968405,40.769673,1,2.23001440015921,"2012","5",16,"4",18,"Night",2.56467187120709,44.8773719961883,40.1419410789437,16.3306002761724,8.04541095680695,5.78086030182857,16.9603100995024,6.49920551229222,17011.7387006057,16.1716804021293
"240",240,"0000006",6.7,-73.959669,40.779718,-73.976259,40.788413,1,1.90210752639692,"2009","2",13,"6",16,"Evening",1.6987581609589,45.0827673099826,40.6931962589907,15.8868377623504,8.77171391849731,6.51866515008287,17.7004795238222,7.3193385501825,17011.5668708272,16.9207954952562
"241",241,"0000005",7.3,-73.979345,40.77663,-73.973842,40.757074,1,1.98787434815435,"2009","6",20,"7",19,"Night",2.22336441991059,43.6044866421803,37.5894066502015,17.6286754666251,4.93971290877908,2.99990984801019,13.6201953968985,3.22965252223039,17012.2654857884,12.8127220219388
"242",242,"00000011",9,-73.98088,40.779967,-73.953747,40.78777,1,2.19722457733622,"2013","9",3,"3",8,"Morning",2.44367095189055,45.0284136847561,40.7371504174698,15.7846920431967,8.76424084328103,6.52576971060697,17.7088500614835,7.41897708967093,17011.4512519737,16.9341052894642
"243",243,"0000001",13,-74.008125,40.738935,-73.980522,40.759953,2,2.56494935746154,"2013","1",20,"1",14,"Evening",3.29676795286518,43.7958263449906,33.1881405695591,21.3606620445182,3.29722914573755,3.35092975820093,8.89066945578642,3.87521698501861,17014.4627171617,8.29604904597981
"244",244,"0000001",19,-73.988834,40.76428,-73.941405,40.838664,1,2.94443897916644,"2013","7",31,"4",6,"Morning",9.18417881206566,48.3200711541633,43.4177599308227,18.5368138893021,12.3159200443742,10.2775974564716,21.3596808849601,11.6405249616237,17011.8367140357,20.6509582745742
"245",245,"0000004",5.5,-73.976474,40.765048,-73.964665,40.762986,1,1.70474809223843,"2013","9",9,"2",22,"Night",1.02063700372911,42.4025079493231,38.1611259108494,16.6074995062265,4.94647270799605,2.77763826542035,13.5372913793604,2.93095013596665,17011.1494669937,12.6609940601447
"246",246,"0000005",8.1,-73.996068,40.732605,-73.980675,40.761862,1,2.09186406167839,"2009","1",23,"6",7,"Morning",3.50214046193685,42.7065132606735,33.9923969899175,20.6866129730747,3.65928394673031,3.56376028517014,8.77436872047338,3.80215819968442,17013.3847639268,7.95601050345688
"247",247,"0000003",9.3,-73.973211,40.760752,-73.974265,40.788281,1,2.23001440015921,"2011","2",18,"6",13,"Mid-Day",3.06237152926231,44.3889452110298,38.8522371315094,17.102275897732,6.54677228669109,4.41433539480084,15.3533774275701,4.9204473356405,17012.11756907,14.5601797520127
"248",248,"00000010",18,-73.997845,40.721235,-73.988257,40.764125,1,2.89037175789616,"2013","5",11,"7",19,"Night",4.83707212421711,42.9203560088982,33.0560805804226,22.0138969671884,4.85134360048796,4.9625589466665,7.71639796252485,5.48247128646025,17013.9666504254,6.82726718766186
"249",249,"000000131",12,-73.984227,40.766897,-73.96239,40.776037,1,2.484906649788,"2014","9",13,"7",12,"Mid-Day",2.10106033578106,43.8738901744694,38.495068884131,16.8290318752456,5.83819864753897,3.59205209195299,14.7586541890396,4.56508591625762,17011.9176635146,13.9681043607865
"250",250,"0000003",7.3,-73.968534,40.752603,-73.992625,40.742916,1,1.98787434815435,"2009","4",21,"3",22,"Night",2.29757104416544,41.5972048195409,35.1611670505144,19.2518306457991,2.95343645164016,3.44817384551651,9.61767633660492,2.42476296123668,17012.1178749171,8.73357572747228
"251",251,"0000003",4.9,-73.95554,40.781958,-73.962196,40.772095,2,1.58923520511658,"2009","9",26,"7",15,"Evening",1.23162333044987,42.9080674287545,41.2286946779014,14.3395700959167,8.29297873569261,5.99708349955742,17.0024207202841,6.22939970565768,17009.7652922151,16.1099942735227
"252",252,"0000001",16.1,-73.789506,40.64704,-73.815622,40.680364,1,2.77881927199042,"2010","5",28,"6",21,"Night",4.31077047191207,6.52924151607726,63.089672210782,28.3305836476669,37.5747496947203,37.3944663155165,37.2995991498153,35.5235392716684,16979.0896509312,36.2690502480994
"253",253,"0000002",12.9,-73.978602,40.76412,-74.008858,40.715637,2,2.55722731136763,"2011","5",2,"2",8,"Morning",5.96333336482608,42.8719043557748,32.7381013488776,22.3305733075743,6.05096419919062,6.00822228486769,6.92867845887343,6.18445636137314,17013.9614948201,6.29238559859887
"254",254,"0000006",4,-73.9619750976562,40.7761116027832,-73.9548492431641,40.7740745544434,1,1.38629436111989,"2015","2",14,"7",19,"Night",0.64136622485481,42.5366267896799,41.0927698571868,14.2444836602242,8.06074054537977,5.78618278791996,16.6961478316427,5.93378035374289,17009.6080072118,15.7901495241685
"255",255,"0000008",15.3,-74.006636,40.751407,-73.954979,40.765281,1,2.72785282839839,"2011","5",2,"2",12,"Mid-Day",4.61631329259338,43.1347324423389,36.0596109815694,18.5718015669631,4.7490578984205,4.63040004682391,11.9842964750781,4.82033760719131,17012.6033289159,11.2868984255651
"256",256,"0000002",11.7,-73.954497,40.769857,-73.984315,40.746007,1,2.45958884180371,"2012","6",24,"1",17,"Evening",3.65249004771019,41.5502153784917,37.7951634535619,16.8431669547951,4.83426302351055,4.28598260564509,12.5045109995865,3.65663377760082,17010.7002630107,11.5795046528259
"257",257,"0000003",25.3,-74.001343,40.74132,-73.928619,40.864267,1,3.23080439573347,"2010","5",22,"7",23,"Night",14.9789085474993,49.708903139976,44.0857094362327,22.0512055377814,14.9957941403993,15.0298989738483,21.6432420317126,15.4574638307214,17011.8745566164,20.9777324601119
"258",258,"0000001",8.9,-73.993112,40.719911,-73.956729,40.720723,1,2.18605127673809,"2010","6",30,"4",2,"Night",3.06750549010195,37.5889483446201,34.3417810181672,21.5097568701827,7.93017382925662,9.25938443196863,6.74735062998486,7.8365675993008,17010.022008088,5.53672367884926
"259",259,"00000097",6,-73.978778,40.753502,-73.973247,40.748147,1,1.79175946922805,"2013","4",26,"6",2,"Night",0.75606385033911,41.3144901938278,36.1354248993683,18.3036325631641,2.9938112476406,2.36010629957862,10.5884134760129,0.766027245641894,17011.4917993252,9.65251924478163
"260",260,"0000001",6,-73.99578,40.716218,-74.009132,40.72078,1,1.79175946922805,"2013","5",2,"5",3,"Morning",1.23432456413765,41.5508346517954,29.7226466284909,25.504064770973,7.37788787710799,9.52806123566795,2.50349889468177,8.80197955050863,17014.5019623595,1.69361783911822
"261",261,"0000003",6.5,-74.003665,40.736906,-73.997843,40.724187,1,1.87180217690159,"2011","1",23,"1",11,"Mid-Day",1.49695479722961,42.48288225644,30.715414579972,23.9640476316031,4.69119427901157,6.90933934777479,4.64425695498469,6.45434354066368,17014.7284914233,3.86560621066794
"262",262,"0000003",7.5,-73.97733,40.74948,-73.987669,40.732709,1,2.01490302054226,"2012","10",14,"1",21,"Night",2.05824893791233,41.0445619438125,34.3692144033085,20.1711392468288,3.39477500476098,4.15545305100843,8.20222213386839,2.74969152006331,17012.1538348688,7.22360816036718
"263",263,"0000002",16.5,-74.0039901733398,40.7479782104492,-73.9831924438477,40.7563285827637,1,2.80336038090653,"2015","4",30,"5",14,"Evening",1.98274169235671,43.9429820418792,33.5247445557461,21.0133205052354,2.01185035183162,2.32965886633539,9.48049322238298,2.96319261524492,17014.4556862471,8.84436372156827
"264",264,"0000001",4.9,-73.983249,40.734655,-73.991278,40.738918,1,1.58923520511658,"2010","7",12,"2",9,"Mid-Day",0.826025996744735,41.1701747748849,33.2745287205482,21.2765868826033,3.25867183099257,4.98245887170904,6.98397487634446,4.00800689391281,17012.7598431077,6.03128768538836
"265",265,"0000002",9.7,-73.962981,40.766443,-73.98893,40.731434,1,2.27212588550934,"2012","1",8,"1",19,"Night",4.46455794253954,41.3003835839558,36.0922337920526,18.6532389650189,5.26884587032642,5.11407765306281,10.2630433107082,4.5043782616225,17011.4034280295,9.28651890316248
"266",266,"0000002",7.7,-73.97935,40.784608,-73.963933,40.808145,1,2.04122032885964,"2012","4",24,"3",13,"Mid-Day",2.92129191733661,47.5513184629398,41.6556918594981,17.1272795425088,10.8461987226432,8.65782410694409,19.896209152444,9.81820996334291,17012.6961718293,19.20192927035
"267",267,"0000001",19,-73.968675,40.799103,-73.935898,40.849863,2,2.94443897916644,"2014","5",9,"6",9,"Mid-Day",6.28203113265065,50.518316274037,48.0586904148278,17.7237826973412,17.8539124085029,15.6089853977649,26.9089083003898,16.5590581636568,17010.6897280048,26.1784460426722
"268",268,"0000001",16.9,-73.990057,40.756307,-73.949604,40.834464,1,2.82731362192903,"2009","7",31,"6",13,"Mid-Day",9.33401607915664,47.8600790020171,42.0989458661479,18.9557482992308,10.7424194558091,9.42520625851324,19.7989362199257,10.5386950426022,17012.3574278844,19.0890712386745
"269",269,"00000053",10.5,-74.002198,40.739608,-73.987342,40.720295,2,2.35137525716348,"2012","11",18,"1",12,"Mid-Day",2.48572155979236,41.5384815568165,31.6979170370675,23.218033166991,4.81713240525224,6.88067783795662,5.49035493318182,6.26328886587208,17013.7131447663,4.59480126424869
"270",270,"000000186",8.9,-73.99633,40.753225,-73.978895,40.766963,3,2.18605127673809,"2011","6",15,"4",18,"Night",2.11894115990137,44.1603925381311,35.2006155472256,19.6273502635922,2.59163534925896,2.17482153170211,11.4277128428923,3.20483203034492,17013.8022805193,10.736137990155
"271",271,"0000005",7.5,-73.995892,40.746454,-73.995892,40.746454,1,2.01490302054226,"2012","8",25,"7",1,"Night",0,43.537036286828,32.6613466355164,21.7702022574459,0.992921862715295,3.31158313386051,8.06560998925553,3.44188894587103,17014.5954713669,7.39506562840437
"272",272,"000000112",5.5,-74.005583,40.740728,-74.003423,40.748705,1,1.70474809223843,"2012","9",6,"5",13,"Mid-Day",0.905474729949756,44.5765505477428,31.1835510507092,23.2802069154956,2.36226126726331,4.57207493508624,7.27630861362072,4.98979405921717,17015.9466292513,6.80286867761199
"273",273,"000000153",10.9,-73.964958,40.775261,-73.949661,40.809689,1,2.3887627892351,"2009","5",13,"4",18,"Night",4.03900668613446,45.3342811345681,43.2470215358411,14.8960002327202,11.1913111943753,8.87461356027743,20.1120799756244,9.46005813015775,17010.1623271628,19.2842336627047
"274",274,"00000021",8.1,0,0,0,0,4,2.09186406167839,"2009","10",30,"6",18,"Night",0,17293.4208292288,17361.1197795747,17314.9975129381,17333.5911498632,17332.5607702632,17335.3583980552,17330.9987045611,327.596007390262,17334.2566048011
"275",275,"00000098",5.7,-73.967598,40.756242,-73.953277,40.76833,1,1.7404661748405,"2010","1",17,"1",22,"Night",1.80594719725366,40.8931079001258,39.5488580578584,15.0589331238759,6.18325138754191,4.38144722605228,14.1865704904137,3.56048538278507,17009.4008993728,13.210097109476
"276",276,"0000001",18.1,-74.008134,40.748631,-73.952349,40.780512,2,2.89591193827178,"2009","12",6,"1",11,"Mid-Day",5.88554992360944,44.1098852391095,36.7641798410475,18.3897687991551,6.06355976631197,5.90941023220347,13.1472157373009,6.37892194821883,17012.7737684463,12.5038680194367
"277",277,"00000017",10.9,-73.95394,40.781298,-73.994423,40.75014,5,2.3887627892351,"2010","6",30,"4",6,"Morning",4.86079978263801,43.381683025516,37.8089270617551,17.3732231263905,4.8669669966052,4.86898676739546,13.5850350802529,5.21331927590398,17011.8197650251,12.7994092840331
"278",278,"000000205",8.9,-73.939093,40.805102,-73.956073,40.771995,5,2.18605127673809,"2011","4",4,"2",18,"Night",3.94914225515662,43.5981085995322,44.1968317893392,13.1556978696787,11.5500500938176,9.27953898667943,20.2036532370953,9.43921556994837,17008.3883056956,19.2934852944024
"279",279,"00000072",13.5,-73.981627,40.78042,-74.008465,40.734012,2,2.60268968544438,"2014","3",3,"2",23,"Night",5.63373651727429,45.0892548196777,33.982758282042,21.4449651141085,5.70137679308881,5.80672822896909,10.3976822677837,6.45975491882022,17014.911018355,9.87027724444994
"280",280,"0000002",5,-74.00269,40.739438,-73.994579,40.75057,2,1.6094379124341,"2014","5",19,"2",20,"Night",1.41389639532981,43.7801659609071,32.1227760332566,22.3333718596923,1.55752745846736,3.84563011684652,7.60676947480249,4.08789918343129,17014.9880128158,6.99565656820151
"281",281,"0000003",5.3,-73.958749,40.781019,-73.945876,40.778165,1,1.66770682055808,"2011","12",7,"4",19,"Night",1.12940758749812,42.5281395160163,42.4726877463647,13.1920963599173,9.52376052206592,7.24964317671769,18.1212759423346,7.38147230161815,17008.7901053701,17.2015374142953
"282",282,"0000001",7.7,-73.98779,40.721226,-73.992425,40.735723,1,2.04122032885964,"2012","6",17,"1",2,"Night",1.65863294500561,40.6894064776282,32.3130162247496,22.6138525309496,4.93443858096468,6.84529227766176,5.46838673592319,5.89396569338107,17012.8794413149,4.42326109377375
"283",283,"000000162",9,-73.969465,40.79798,-73.982315,40.776767,1,2.19722457733622,"2013","1",1,"3",14,"Evening",2.59503662363793,46.6140999265898,39.946231153891,17.4332682831736,8.71749821976409,6.54105444503244,17.7692212960078,7.78743813567854,17013.0173873149,17.0751180669527
"284",284,"000000173",16.1,-73.988568,40.732097,-73.957498,40.742657,1,2.77881927199042,"2011","10",8,"7",0,"Night",2.8690443880051,39.2795656044169,35.5922234425349,19.0801821738242,5.23409123679024,5.9388229496656,8.77458805594799,4.48350295995222,17010.4308049641,7.69307205576651
"285",285,"0000003",4.9,-73.966597,40.794345,-73.965682,40.803808,2,1.58923520511658,"2012","7",30,"2",16,"Evening",1.05505263975853,47.2890835463781,42.7430994690014,16.1767522739388,11.7429671231396,9.49245903967883,20.79642629751,10.4811139602124,17011.9008275232,20.0654913196764
"286",286,"0000002",5.5,-73.999432,40.749066,-73.995077,40.738264,1,1.70474809223843,"2012","9",9,"1",10,"Mid-Day",1.25591196332115,43.411085655931,32.2376514236667,22.2344118270554,1.90044959225076,4.07252651804211,7.44638868706608,4.11692469035168,17014.7031140886,6.76865120661443
"287",287,"00000037",57.33,-73.781127,40.645007,-73.981802,40.762515,1,4.04882404692029,"2013","6",14,"6",17,"Evening",21.374787667505,22.3146471924037,51.6995158740502,26.0918300496771,23.0523329723742,21.8436422138447,27.1292244455594,21.5694006953702,16993.8431426435,26.2545404153841
"288",288,"0000005",8.5,-73.956606,40.771111,-73.977111,40.776811,3,2.14006616349627,"2014","2",28,"6",22,"Night",1.83931736837818,43.3992010720211,39.7384574617165,15.6965510613575,7.08565120832866,4.8594035628523,15.8238386222785,5.36421378970459,17010.9565077559,14.9844509093721
"289",289,"0000001",9.5,-73.981932,40.777668,-73.960058,40.809688,1,2.2512917986065,"2014","6",10,"3",14,"Evening",4.00844501288011,47.1163189330342,41.4276661441009,17.0971353519097,10.3267352256275,8.13199537739334,19.378084298957,9.30384117186159,17012.4753913123,18.6710440229547
"290",290,"0000002",7.5,-73.9531021118164,40.7887001037598,-73.9567794799805,40.8059043884277,1,2.01490302054226,"2015","3",29,"1",13,"Mid-Day",1.93791193828354,45.7504705411721,44.1186556528936,14.3304211873286,12.3260949730919,10.0157280857911,21.2682067766005,10.648876252782,17009.9748334367,20.4485480542672
"291",291,"00000075",6.9,-73.982432,40.745747,-73.982432,40.745747,1,1.93152141160321,"2009","12",14,"2",12,"Mid-Day",0,41.5525549600066,34.706883000418,19.7049621059096,2.12884054544158,2.95942581151419,9.01387654007464,1.77987676746075,17012.3390777802,8.10090492020009
"292",292,"000000103",7.5,-73.991995,40.74499,-73.986237,40.729637,2,2.01490302054226,"2013","9",21,"7",2,"Night",1.77476797089014,41.515922079101,33.0568449942905,21.5648685104073,3.02108053773557,4.90747965518053,6.98234483784237,4.1878263539808,17013.0885656338,6.05295073908384
"293",293,"00000064",8.1,-73.988988,40.777013,-73.997445,40.760155,1,2.09186406167839,"2009","8",31,"2",10,"Mid-Day",2.00525913913241,46.0454939837203,35.2748491101501,20.2894391185613,4.09779006032209,3.08959926067942,12.8864134419507,4.77603629754306,17015.08762656,12.3091747933251
"294",294,"00000070",6.1,-74.006642,40.738927,-74.010828,40.717907,3,1.80828877117927,"2011","1",18,"3",23,"Night",2.36378348649506,43.51066276602,29.3314333300322,25.4069663406642,5.61344567516668,7.91536976773721,3.58963290281256,7.7103685149626,17015.9594128447,3.31271934326255
"295",295,"0000001",5.7,-73.966612,40.759278,-73.975773,40.755462,1,1.7404661748405,"2012","6",26,"3",13,"Mid-Day",0.88058738493978,41.5554081921056,37.4428952389269,17.0631858285951,4.04243900980721,2.43140955307216,12.2237596099875,1.48321514137498,17010.9714040776,11.299495722317
"296",296,"000000187",14.1,-73.987365,40.738572,-73.977218,40.775352,1,2.64617479738412,"2010","1",21,"5",8,"Morning",4.17809838978543,43.1424864977598,35.858543350381,19.2543307083851,4.50165040811448,4.21449279722093,11.2221823588805,4.30798357379451,17012.7901352343,10.3855968981581
"297",297,"000000117",5.7,-73.989807,40.74123,-73.993917,40.726492,1,1.7404661748405,"2011","7",21,"5",15,"Evening",1.67498024856219,41.5413174143544,32.3623599506871,22.2866616887936,3.74422225961045,5.68378790059618,5.99063427173645,4.89638114750588,17013.3972122014,5.04502533994676
"298",298,"0000002",7,-73.95906,40.781061,-73.96206,40.768604,1,1.94591014905531,"2013","11",6,"4",11,"Mid-Day",1.40800236438894,42.7712272916261,40.7576665641514,14.6705110976303,7.78190711269445,5.51889656451378,16.4463499266919,5.68436845238552,17009.9521282971,15.5520013125565
"299",299,"00000056",12,-73.985652,40.72212,-73.970955,40.751952,1,2.484906649788,"2014","2",9,"1",2,"Night",3.54075273366219,40.0634734509318,34.8326137914777,20.0356612351621,5.12008038316711,5.51001875618018,8.20517855843898,4.00668554365989,17011.2884522869,7.11297679727922
"300",300,"0000002",11.5,-73.9551162719727,40.7689895629883,-73.9842376708984,40.7484397888184,1,2.4423470353692,"2015","4",18,"7",8,"Morning",3.3522437456041,41.6674219669276,37.8128084050181,16.8072154786105,4.62922813087298,3.9286144780272,12.6277980146467,3.35507035325949,17010.7780872978,11.7148371366673
"301",301,"0000004",12.1,-73.870936,40.773703,-73.914269,40.753681,1,2.4932054526027,"2010","3",27,"7",22,"Night",4.2749865858303,33.6416250669142,50.3007876957939,5.05066045757553,17.3069252732204,15.7486120653751,23.3010677036332,14.5513333955121,16998.2445583745,22.1116611039293
"302",302,"0000002",26.67,-73.958063,40.760414,-73.861443,40.768181,1,3.28353933819392,"2010","6",15,"3",13,"Mid-Day",8.18296880379005,35.8999196228345,47.6629460968025,8.97631498761104,14.4607401094258,12.748836723964,21.2742448228525,11.7262460630235,17001.1061516926,20.1677870223456
"303",303,"000000128",4.5,-73.98674,40.755362,-73.995713,40.764137,1,1.50407739677627,"2010","9",13,"2",9,"Mid-Day",1.23418783142983,44.5556035086632,34.6360544060936,20.2334227999205,2.30792931971171,1.48376479752888,11.1592335430437,2.86849625440312,17014.3851880154,10.4994754296866
